;CCS;10' A Frame Ladder;;;;;;;;;;;;;CCS;Bay 1
;CCS;E-Vision WUXGA-4500 Digital Projection;;W445UAGCY00469;;;;;;;;;;;CCS;CCS Bay 6 #7
;CCS;E-Vision WUXGA-4500 Digital Projection;;W445UAGCY00486;;;;;;;;;;;CCS;CCS Bay 5 #8
;CCS;E-Vision WUXGA-4500 Digital Projection;;W445UAGCY00501;;;;;;;;;;;CCS;CCS Bay 1 #1
;CCS;E-Vision WUXGA-4500 Digital Projection;;W445UAGCY00508;;;;;;;;;;;CCS;CCS Bay 4 #6
;CCS;E-Vision WUXGA-4500 Digital Projection;;W445UAGCY00511;;;;;;;;;;;CCS;CCS Bay 3 #2
;CCS;E-Vision WUXGA-4500 Digital Projection;;W445UAGCY00518;;;;;;;;;;;CCS;CCS Bay 1 #5
;CCS;E-Vision WUXGA-4500 Digital Projection;;W445UAGCY00520;;;;;;;;;;;CCS;CCS Bay 1 #2
;CCS;E-Vision WUXGA-4500 Digital Projection;;W445UAGCY00522;;;;;;;;;;;CCS;CCS Bay 3 #6
;CCS;E-Vision WUXGA-4500 Digital Projection;;W445UAGCY00535;;;;;;;;;;;CCS;CCS Bay 6 #4
;CCS;E-Vision WUXGA-4500 Digital Projection;;W445UAGCY00551;;;;;;;;;;;CCS;CCS Bay 3 #3
;CCS;E-Vision WUXGA-4500 Digital Projection;;W445UAGCY00583;;;;;;;;;;;CCS;CCS Bay 3 #8
;CCS;E-Vision WUXGA-4500 Digital Projection;;W445UAGCY00588;;;;;;;;;;;CCS;CCS Bay 2 #3
;CCS;Gun Case 4U Rack Mount [BB0040-0000-110];;CCSBB00040-0010;BB0040-0000-110;;;;;;;;;;CCS;Bay 4
;CCS;Lexmark Printer;;94289K6;;;;;;;;;;;CCS;CCS Main Office
;CCS;Lockheed Martin Dock Sincgar dual;;009;;;;;;;;;;;CCS;CCS BAY 5
;CCS;Lockheed Martin Dock Sincgar dual;;016;;;;;;;;;;;CCS;CCS BAY 3
;CCS;Lockheed Martin Dock Sincgar dual;;018;;;;;;;;;;;CCS;CCS BAY 4
;CCS;Lockheed Martin Dock Sincgar dual;;020;;;;;;;;;;;CCS;CCS BAY 6
;CCS;NETGEAR 16 port switch;;1232565H0001D;;;;;;;;;;;CCS;CCS IOS
;CCS;NETGEAR 16 port switch;;1LI1865N00784;;;;;;;;;;;CCS;CCS Bay 6
;CCS;NETGEAR 16 port switch;;2221955C0023C;;;;;;;;;;;CCS;CCS Bay 6
;CCS;NETGEAR 16 port switch;;22219A5W000DC;;;;;;;;;;;CCS;CCS Bay 1
;CCS;NETGEAR 16 port switch;;4CU17A5F000DE;;;;;;;;;;;CCS;CCS Bay 4
;CCS;NETGEAR 16 port switch;;4CU18A5M001E7;;;;;;;;;;;CCS;Back Room SPARE
;CCS;NETGEAR 16 port switch;;GST2148DB035549;;;;;;;;;;;CCS;CCS Bay 5
;CCS;NETGEAR 16 port switch;;GST2148DB035550;;;;;;;;;;;CCS;CCS Bay 3
;CCS;NETGEAR 16 port switch;;GST2148DB035551;;;;;;;;;;;CCS;CCS Bay 3
;CCS;NETGEAR 16 port switch;;GST2155DB040878;;;;;;;;;;;CCS;CCS Bay 4
;CCS;NETGEAR 16 port switch;;GST2155DB040880;;;;;;;;;;;CCS;CCS Bay 4
;CCS;NETGEAR 16 port switch;;GST2155DB040881;;;;;;;;;;;CCS;CCS Bay 5
;CCS;NETGEAR 16 port switch;;ILJ1865N00784;;;;;;;;;;;CCS;CCS Bay 2
;CCS;NETGEAR 16 port switch;;ILU1745S00656;;;;;;;;;;;CCS;BAD Needs DRMO
;CCS;Power Distribution, AC PULIZZI;;148702-0802037458;;;;;;;;;;;CCS;CCS Bay 1
;CCS;Power Distribution, AC PULIZZI;;148702-0802037476;;;;;;;;;;;CCS;CCS Bay 6
;CCS;Power Distribution, AC PULIZZI;;148702-0802037479;;;;;;;;;;;CCS;CCS Bay 2
;CCS;Power Distribution, AC PULIZZI;;148702-0802037481;;;;;;;;;;;CCS;CCS Bay 6 SPARE
;CCS;Power Distribution, AC PULIZZI;;155146-0806037521;;;;;;;;;;;CCS;CCS Bay 3
;CCS;Power Distribution, AC PULIZZI;;155146-0806037524;;;;;;;;;;;CCS;CCS IOS
;CCS;Power Distribution, AC PULIZZI;;156329-0807037529;;;;;;;;;;;CCS;CCS Bay 4
;CCS;Power Distribution, AC PULIZZI;;156329-0807037534;;;;;;;;;;;CCS;CCS Bay 5
;CCS;PYL PRO PYX-3X;;700012;;;;;;;;;;;CCS;CCS Bay 1
;CCS;PYL PRO PYX-3X;;700382;;;;;;;;;;;CCS;CCS Bay 6
;CCS;PYL PRO PYX-3X;;700489;;;;;;;;;;;CCS;CCS Bay 4
;CCS;PYL PRO PYX-3X;;700491;;;;;;;;;;;CCS;CCS Bay 2
;CCS;PYL PRO PYX-3X;;700492;;;;;;;;;;;CCS;CCS Bay 5
;CCS;PYL PRO PYX-3X;;700581;;;;;;;;;;;CCS;CCS Bay 3
;CCS;Samsung 22 Monitor 225BW;;"DP22HVMPC01144V;;;;;;;;;;;CCS;CCS IOS CCTV
;CCS;Samsung 22 Monitor 225BW;;"DP22HVNPC00168L;;;;;;;;;;;CCS;CCS IOS AAR IG1
;CCS;Samsung 22 Monitor 225BW;;"DP22HVNPC00173E;;;;;;;;;;;CCS;CCS IOS AAR IG2
;CCS;Samsung 22 Monitor 225BW;;"DP22HVNPC00174F;;;;;;;;;;;CCS;CCS IOS SIMI 2ND
;CCS;Samsung 22 Monitor 225BW;;"DP22HVNPC00176H;;;;;;;;;;;CCS;CCS IOS SIMI MAIN
;CCS;Samsung 22 Monitor 225BW;;"DP22HVNPC00261X;;;;;;;;;;;CCS;CCS IOS AAR IG3
;CCS;Samsung 22 Monitor 225BW;;"DP22HVNPC00262N;;;;;;;;;;;CCS;CCS IOS EXCON MAIN
;CCS;Samsung 22 Monitor 225BW;;"DP22HVNPC00263E;;;;;;;;;;;CCS;CCS IOS EXCON 2ND
;CCS;Trainer Assembly-HMMWV [16331ASSY6404130G1];;013;16331ASSY6404130G1;;;;;;;;;;CCS;CCS BAY 3
;CCS;Trainer Assembly-HMMWV [16331ASSY6404130G1];;014;16331ASSY6404130G1;;;;;;;;;;CCS;CCS BAY 4
;CCS;Trainer Assembly-HMMWV [16331ASSY6404130G1];;015;16331ASSY6404130G1;;;;;;;;;;CCS;CCS BAY 5
;CCS;Trainer Assembly-HMMWV [16331ASSY6404130G1];;016;16331ASSY6404130G1;;;;;;;;;;CCS;CCS BAY 6
;CCS;Trainer Assembly-MTVR [16331ASSY6404014G1];;007;16331ASSY6404014G1;;;;;;;;;;CCS;BAY 1
;CCS;Trainer Assembly-MTVR [16331ASSY6404014G1];;008;16331ASSY6404014G1;;;;;;;;;;CCS;BAY 2
;CCS;UPS (Uninterruptible Power Supply) EATON;;BM343FBB10;;;;;;;;;;;CCS;IOS
;CCS;UPS (Uninterruptible Power Supply) EATON;;BM343FBB11;;;;;;;;;;;CCS;Bay 3
;CCS;UPS (Uninterruptible Power Supply) EATON;;BM422FBB06;;;;;;;;;;;CCS;CCS Bay 2
;CCS;UPS (Uninterruptible Power Supply) EATON;;FB392FBB01;;;;;;;;;;;CCS;BAD NEEDS TO BE SENT TO DRMO
;CCS;UPS (Uninterruptible Power Supply) EATON;;FB392FBB02;;;;;;;;;;;CCS;CCS Bay 1
;CCS;UPS (Uninterruptible Power Supply) EATON;;FB392FBB03;;;;;;;;;;;CCS;CCS Bay 4
;CCS;UPS (Uninterruptible Power Supply) EATON;;FB392FBB04;;;;;;;;;;;CCS;BAD NEEDS TO BE SENT TO DRMO
;CCS;UPS (Uninterruptible Power Supply) EATON;;FB392FBB05;;;;;;;;;;;CCS;CCS Bay 6
;CCS;UPS (Uninterruptible Power Supply) EATON;;FB392FBB06;;;;;;;;;;;CCS;CCS Bay 5
;CCS;UPS (Uninterruptible Power Supply) EATON;;FB392FBB07;;;;;;;;;;;CCS;BAD NEEDS TO BE SENT TO DRMO
;CCS;(USMC) A4 RCO Scope [TA31RCOA4];;528919;TA31RCOA4;;;;;;;;;;CCS;CCS Bay 3 BFI527599
;CCS;(USMC) A4 RCO Scope [TA31RCOA4];;528920;TA31RCOA4;;;;;;;;;;CCS;CCS Bay 4 BFI504246
;CCS;(USMC) A4 RCO Scope [TA31RCOA4];;528921;TA31RCOA4;;;;;;;;;;CCS;CCS Bay 5 BFI678223
;CCS;(USMC) A4 RCO Scope [TA31RCOA4];;528922;TA31RCOA4;;;;;;;;;;CCS;CCS Bay 5 BFI594899
;CCS;(USMC) A4 RCO Scope [TA31RCOA4];;528923;TA31RCOA4;;;;;;;;;;CCS;CCS Bay 5 BFI610400
;CCS;(USMC) A4 RCO Scope [TA31RCOA4];;528925;TA31RCOA4;;;;;;;;;;CCS;CCS Bay 6 BFI526589
;CCS;(USMC) A4 RCO Scope [TA31RCOA4];;528926;TA31RCOA4;;;;;;;;;;CCS;CCS Bay 3 BFI526462
;CCS;(USMC) A4 RCO Scope [TA31RCOA4];;528927;TA31RCOA4;;;;;;;;;;CCS;CCS Bay 6 BFI610330
;CCS;(USMC) A4 RCO Scope [TA31RCOA4];;528928;TA31RCOA4;;;;;;;;;;CCS;CCS Bay 4 BFI527600
;CCS;(USMC) A4 RCO Scope [TA31RCOA4];;528929;TA31RCOA4;;;;;;;;;;CCS;CCS Bay 4 BFI504105
;CCS;(USMC) A4 RCO Scope [TA31RCOA4];;528931;TA31RCOA4;;;;;;;;;;CCS;CCS Bay 3 On BFI475820
;CCS;(USMC) A4 RCO Scope [TA31RCOA4];;528932;TA31RCOA4;;;;;;;;;;CCS;CCS Bay 2 BFI504233
;CCS;(USMC) A4 RCO Scope [TA31RCOA4];;528933;TA31RCOA4;;;;;;;;;;CCS;CCS Bay 6 BFI594897
;CCS;(USMC) A4 RCO Scope [TA31RCOA4];;528934;TA31RCOA4;;;;;;;;;;CCS;CCS Bay 5 BFI526457
;CCS;(USMC) A4 RCO Scope [TA31RCOA4];;528935;TA31RCOA4;;;;;;;;;;CCS;Bay 4 Locker
;CCS;(USMC) A4 RCO Scope [TA31RCOA4];;528936;TA31RCOA4;;;;;;;;;;CCS;CCS Bay 5 BFI526521
;CCS;(USMC) A4 RCO Scope [TA31RCOA4];;528937;TA31RCOA4;;;;;;;;;;CCS;CCS Bay 3 BFI527594
;CCS;(USMC) A4 RCO Scope [TA31RCOA4];;528972;TA31RCOA4;;;;;;;;;;CCS;CCS Bay 4 BFI526525
;CCS;(USMC) A4 RCO Scope [TA31RCOA4];;528973;TA31RCOA4;;;;;;;;;;CCS;CCS Bay 4 BFI526557
;CCS;(USMC) A4 RCO Scope [TA31RCOA4];;528974;TA31RCOA4;;;;;;;;;;CCS;CCS Bay 6 BFI526520
;CCS;(USMC) Adapter [AN/PEQ-2A];;05514;AN/PEQ-2A;;;;;;;;;;CCS;CCS Bay 2 Locker
;CCS;(USMC) Adapter [AN/PEQ-2A];;05516;AN/PEQ-2A;;;;;;;;;;CCS;CCS Bay 2 Locker
;CCS;(USMC) Adapter [AN/PEQ-2A];;05520;AN/PEQ-2A;;;;;;;;;;CCS;CCS Bay 2 Locker
;CCS;(USMC) Adapter [AN/PEQ-2A];;05521;AN/PEQ-2A;;;;;;;;;;CCS;CCS Bay 2 Locker
;CCS;(USMC) Adapter [AN/PEQ-2A];;05528;AN/PEQ-2A;;;;;;;;;;CCS;CCS Bay 2 Locker
;CCS;(USMC) Adapter [AN/PEQ-2A];;05534;AN/PEQ-2A;;;;;;;;;;CCS;CCS Bay 2 Locker
;CCS;(USMC) Adapter [AN/PEQ-2A];;05545;AN/PEQ-2A;;;;;;;;;;CCS;CCS Bay 2 Locker
;CCS;(USMC) Adapter [AN/PEQ-2A];;05546;AN/PEQ-2A;;;;;;;;;;CCS;CCS Bay 2 Locker
;CCS;(USMC) Adapter [AN/PEQ-2A];;05547;AN/PEQ-2A;;;;;;;;;;CCS;CCS Bay 2 Locker
;CCS;(USMC) Adapter [AN/PEQ-2A];;05548;AN/PEQ-2A;;;;;;;;;;CCS;CCS Bay 2 Locker
;CCS;(USMC) Adapter [AN/PEQ-2A];;070484;AN/PEQ-2A;;;;;;;;;;CCS;CCS Bay 2 Locker
;CCS;(USMC) Adapter [AN/PEQ-2A];;070485;AN/PEQ-2A;;;;;;;;;;CCS;CCS Bay 2 Locker
;CCS;(USMC) AN/PVS-14 Monocular Kit [245620-007];;208290;245620-007;;;;;;;;;;CCS;CCS Bay 6 Locker
;CCS;(USMC) AN/PVS-14 Monocular Kit [245620-007];;208368;245620-007;;;;;;;;;;CCS;CCS Bay 6 Locker
;CCS;(USMC) AN/PVS-14 Monocular Kit [245620-007];;208378;245620-007;;;;;;;;;;CCS;CCS Bay 6 Locker
;CCS;(USMC) AN/PVS-14 Monocular Kit [245620-007];;208379;245620-007;;;;;;;;;;CCS;CCS Bay 6 Locker
;CCS;(USMC) AN/PVS-14 Monocular Kit [245620-007];;208380;245620-007;;;;;;;;;;CCS;CCS Bay 6 Locker
;CCS;(USMC) AN/PVS-14 Monocular Kit [245620-007];;208381;245620-007;;;;;;;;;;CCS;CCS Bay 6 Locker
;CCS;(USMC) AN/PVS-14 Monocular Kit [245620-007];;208382;245620-007;;;;;;;;;;CCS;CCS Bay 6 Locker
;CCS;(USMC) AN/PVS-14 Monocular Kit [245620-007];;208383;245620-007;;;;;;;;;;CCS;CCS Bay 6 Locker
;CCS;(USMC) AN/PVS-14 Monocular Kit [245620-007];;208384;245620-007;;;;;;;;;;CCS;CCS Bay 6 Locker
;CCS;(USMC) AN/PVS-14 Monocular Kit [245620-007];;208385;245620-007;;;;;;;;;;CCS;CCS Bay 6 Locker
;CCS;(USMC) AN/PVS-14 Monocular Kit [245620-007];;208386;245620-007;;;;;;;;;;CCS;CCS Bay 6 Locker
;CCS;(USMC) AN/PVS-14 Monocular Kit [245620-007];;208387;245620-007;;;;;;;;;;CCS;CCS Bay 6 Locker
;CCS;(USMC) AN/PVS-14 Monocular Kit [245620-007];;208388;245620-007;;;;;;;;;;CCS;CCS Bay 6 Locker
;CCS;(USMC) AN/PVS-14 Monocular Kit [245620-007];;208398;245620-007;;;;;;;;;;CCS;CCS Bay 6 Locker
;CCS;(USMC) Fill Station Assembly BlueFire [1022941];;A073712;1022941;;;;;;;;;;CCS;CCS 2nd
;CCS;(USMC) Fill Station Assembly BlueFire [1022941];;A076493;1022941;;;;;;;;;;CCS;CCS 1ST
;CCS;(USMC) M240G Machine Gun [1009292];;C04340;1009292;;;;;;;;;;CCS;CCS Bay 5 Locker
;CCS;(USMC) M240G Machine Gun [1009292];;C04469;1009292;;;;;;;;;;CCS;CCS Bay 3 SPARE
;CCS;(USMC) M240G Machine Gun [1009292];;FN95630;1009292;;;;;;;;;;CCS;CCS Bay 3 Mounted
;CCS;(USMC) M240G Machine Gun [1009292];;RA1028;1009292;;;;;;;;;;CCS;CCS Bay 5 Locker
;CCS;(USMC) M4 Rifle BlueFire [1024534-04];;BFI475503;1024534-04;;;;;;;;;;CCS;CCS Bay 4 RCO 932120
;CCS;(USMC) M4 Rifle BlueFire [1024534-04];;BFI475628;1024534-04;;;;;;;;;;CCS;CCS Bay 1 w/RCO 932247
;CCS;(USMC) M4 Rifle BlueFire [1024534-04];;BFI475639;1024534-04;;;;;;;;;;CCS;CCS Bay 6 w/RCO 932314
;CCS;(USMC) M4 Rifle BlueFire [1024534-04];;BFI475820;1024534-04;;;;;;;;;;CCS;CCS Bay 3 RCO 528931
;CCS;(USMC) M4 Rifle BlueFire [1024534-04];;BFI475884;1024534-04;;;;;;;;;;CCS;CCS Bay 1 w/RCO 932325
;CCS;(USMC) M4 Rifle BlueFire [1024534-04];;BFI504233;1024534-04;;;;;;;;;;CCS;CCS Bay 2 RCO 528932
;CCS;(USMC) M4 Rifle BlueFire [1024534-04];;BFI504246;1024534-04;;;;;;;;;;CCS;CCS Bay 4 RCO 528920
;CCS;(USMC) M4 Rifle BlueFire [1024534-04];;BFI526570;1024534-04;;;;;;;;;;CCS;CCS Bay 3 w/RCO 932178
;CCS;(USMC) M4 Rifle BlueFire [1024534-04];;BFI526589;1024534-04;;;;;;;;;;CCS;CCS Bay 6 RCO528925
;CCS;(USMC) M4 Rifle BlueFire [1024534-04];;BFI610400;1024534-04;;;;;;;;;;CCS;CCS Bay 5 RCO 528923
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S000090;1024520;;;;;;;;;;CCS;SPARE Bay 1 Box 3
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S000306;1024520;;;;;;;;;;CCS;Bay 3
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S000336;1024520;;;;;;;;;;CCS;Bay 2
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S000368;1024520;;;;;;;;;;CCS;Bay 6
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S000458;1024520;;;;;;;;;;CCS;Bay 1
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S000495;1024520;;;;;;;;;;CCS;Bay 3
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S000568;1024520;;;;;;;;;;CCS;SPARE Bay 1 Box 3
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S000704;1024520;;;;;;;;;;CCS;SPARE Bay 1 Box 1
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S000721;1024520;;;;;;;;;;CCS;Bay 5
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S000757;1024520;;;;;;;;;;CCS;SPARE Bay 1 Box 2
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S000873;1024520;;;;;;;;;;CCS;Bay 4
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S000942;1024520;;;;;;;;;;CCS;SPARE Bay 1 Box 1
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S000961;1024520;;;;;;;;;;CCS;Bay 3
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S001034;1024520;;;;;;;;;;CCS;SPARE Bay 1 Box 2
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S001048;1024520;;;;;;;;;;CCS;SPARE Bay 1 Box 3
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S001061;1024520;;;;;;;;;;CCS;Bay 6
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S001071;1024520;;;;;;;;;;CCS;Bay 6
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S001163;1024520;;;;;;;;;;CCS;Bay 2
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S001576;1024520;;;;;;;;;;CCS;SPARE Bay 1 Box 1
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S002136;1024520;;;;;;;;;;CCS;SPARE Bay 1 Box 3
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S002760;1024520;;;;;;;;;;CCS;Bay 4
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S003580;1024520;;;;;;;;;;CCS;Bay 2
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S003711;1024520;;;;;;;;;;CCS;Bay 1
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S004124;1024520;;;;;;;;;;CCS;Bay 6
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S004205;1024520;;;;;;;;;;CCS;Bay 2
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S004259;1024520;;;;;;;;;;CCS;SPARE Bay 1 Box 2
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S004323;1024520;;;;;;;;;;CCS;Bay 3
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005115;1024520;;;;;;;;;;CCS;Bay 6
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005160;1024520;;;;;;;;;;CCS;Bay 3
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005182;1024520;;;;;;;;;;CCS;SPARE Bay 1 Box 1
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005187;1024520;;;;;;;;;;CCS;SPARE Bay 1 Box 2
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005199;1024520;;;;;;;;;;CCS;Bay 5
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005210;1024520;;;;;;;;;;CCS;Bay 4
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005231;1024520;;;;;;;;;;CCS;Bay 4
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005233;1024520;;;;;;;;;;CCS;Bay 4
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005244;1024520;;;;;;;;;;CCS;Bay 3
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005250;1024520;;;;;;;;;;CCS;SPARE Bay 1 Box 2
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005265;1024520;;;;;;;;;;CCS;SPARE Bay 1 Box 1
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005358;1024520;;;;;;;;;;CCS;Bay 4
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005383;1024520;;;;;;;;;;CCS;Bay 6
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005386;1024520;;;;;;;;;;CCS;SPARE Bay 1 Box 2
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005447;1024520;;;;;;;;;;CCS;SPARE Bay 1 Box 3
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005466;1024520;;;;;;;;;;CCS;SPARE Bay 1 Box 1
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005467;1024520;;;;;;;;;;CCS;SPARE Bay 1 Box 1
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005498;1024520;;;;;;;;;;CCS;Bay 4
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005500;1024520;;;;;;;;;;CCS;SPARE Bay 1 Box 1
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005510;1024520;;;;;;;;;;CCS;Bay 1
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005520;1024520;;;;;;;;;;CCS;Bay 6
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005521;1024520;;;;;;;;;;CCS;SPARE Bay 1 Box 1
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005522;1024520;;;;;;;;;;CCS;Bay 5
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005523;1024520;;;;;;;;;;CCS;SPARE Bay 1 Box 1
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005524;1024520;;;;;;;;;;CCS;Bay 4
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005532;1024520;;;;;;;;;;CCS;SPARE Bay 1 Box 2
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005534;1024520;;;;;;;;;;CCS;Bay 4
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005536;1024520;;;;;;;;;;CCS;SPARE Bay 1 Box 1
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005538;1024520;;;;;;;;;;CCS;SPARE Bay 1 Box 1
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005540;1024520;;;;;;;;;;CCS;Bay 6
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005543;1024520;;;;;;;;;;CCS;Bay 3
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005554;1024520;;;;;;;;;;CCS;Bay 6
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005572;1024520;;;;;;;;;;CCS;SPARE Bay 1 Box 2
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005574;1024520;;;;;;;;;;CCS;SPARE Bay 1 Box 2
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005575;1024520;;;;;;;;;;CCS;Bay 4
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005576;1024520;;;;;;;;;;CCS;SPARE Bay 1 Box 2
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005581;1024520;;;;;;;;;;CCS;Bay 5
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005586;1024520;;;;;;;;;;CCS;Bay 5
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005592;1024520;;;;;;;;;;CCS;Bay 4
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005605;1024520;;;;;;;;;;CCS;SPARE Bay 1 Box 1
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005606;1024520;;;;;;;;;;CCS;Bay 3
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005623;1024520;;;;;;;;;;CCS;Bay 5
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S005626;1024520;;;;;;;;;;CCS;Bay 3
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S006322;1024520;;;;;;;;;;CCS;SPARE Bay 1 Box 1
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S006484;1024520;;;;;;;;;;CCS;Bay 3
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S006498;1024520;;;;;;;;;;CCS;SPARE Bay 1 Box 1
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S006499;1024520;;;;;;;;;;CCS;SPARE Bay 1 Box 2
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S006500;1024520;;;;;;;;;;CCS;Bay 2
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S006501;1024520;;;;;;;;;;CCS;SPARE Bay 1 Box 3
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S006502;1024520;;;;;;;;;;CCS;SPARE Bay 1 Box 1
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S006503;1024520;;;;;;;;;;CCS;SPARE Bay 1 Box 1
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S006504;1024520;;;;;;;;;;CCS;Bay 2
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S006507;1024520;;;;;;;;;;CCS;SPARE Bay 1 Box 3
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S006508;1024520;;;;;;;;;;CCS;Bay 5
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S006513;1024520;;;;;;;;;;CCS;Bay 6
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S006516;1024520;;;;;;;;;;CCS;Bay 1
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S006522;1024520;;;;;;;;;;CCS;Bay 1
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S006523;1024520;;;;;;;;;;CCS;SPARE Bay 1 Box 3
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S006524;1024520;;;;;;;;;;CCS;Bay 2
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S006525;1024520;;;;;;;;;;CCS;Bay 2
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S006526;1024520;;;;;;;;;;CCS;Bay 1
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S006527;1024520;;;;;;;;;;CCS;SPARE Bay 1 Box 3
;CCS;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S006529;1024520;;;;;;;;;;CCS;SPARE Bay 1 Box 1
